"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"64";"AB";"Activite";"Trimestre";3;2021;"AC4_5";"Arrete_Reference";2034063
"65";"AB";"Activite";"Trimestre";3;2021;"AC4_5";"Annee_Reference";2114255
"66";"AB";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Actuel";NA
"67";"AB";"Activite";"Trimestre";3;2021;"AC4";"Trimestre_Reference";NA
"68";"AB";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Actuel";205758
"69";"AB";"Activite";"Trimestre";3;2021;"AC4";"Arrete_Reference";277971
"70";"AB";"Activite";"Trimestre";3;2021;"AC4";"Annee_Reference";135191
"71";"AB";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Actuel";NA
"72";"AB";"Activite";"Trimestre";3;2021;"AC5";"Trimestre_Reference";NA
"73";"AB";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Actuel";2060771
"74";"AB";"Activite";"Trimestre";3;2021;"AC5";"Arrete_Reference";1756092
"75";"AB";"Activite";"Trimestre";3;2021;"AC5";"Annee_Reference";1979064
"76";"AB";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Actuel";NA
"77";"AB";"Activite";"Trimestre";3;2021;"AC3";"Trimestre_Reference";NA
"78";"AB";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Actuel";6068223
"79";"AB";"Activite";"Trimestre";3;2021;"AC3";"Arrete_Reference";5859008
"80";"AB";"Activite";"Trimestre";3;2021;"AC3";"Annee_Reference";6003059
"81";"AB";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Actuel";NA
"82";"AB";"Activite";"Trimestre";3;2021;"PA3";"Trimestre_Reference";NA
"83";"AB";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Actuel";6154020
"84";"AB";"Activite";"Trimestre";3;2021;"PA3";"Arrete_Reference";5761910
"85";"AB";"Activite";"Trimestre";3;2021;"PA3";"Annee_Reference";5861002
"86";"AB";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Actuel";NA
"87";"AB";"Activite";"Trimestre";3;2021;"DAV";"Trimestre_Reference";NA
"88";"AB";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Actuel";1793106
"89";"AB";"Activite";"Trimestre";3;2021;"DAV";"Arrete_Reference";1724210
"90";"AB";"Activite";"Trimestre";3;2021;"DAV";"Annee_Reference";1821946
