Banque;Indicateur;Terme;Num_Terme;Annee;Rubrique;Information;Montant
AB;Bilan;Semestre;1;2008;AC4;Arrete_Reference;4301
AB;Bilan;Semestre;1;2008;AC5;Annee_Reference;378757
AB;Bilan;Semestre;1;2008;AC5;Arrete_Actuel;371542
AB;Bilan;Semestre;1;2008;AC5;Arrete_Reference;325118
AB;Bilan;Semestre;1;2008;AC6;Annee_Reference;90338
AB;Bilan;Semestre;1;2008;AC6;Arrete_Actuel;94101
AB;Bilan;Semestre;1;2008;AC6;Arrete_Reference;84257
AB;Bilan;Semestre;1;2008;AC7;Annee_Reference;26003
AB;Bilan;Semestre;1;2008;AC7;Arrete_Actuel;48758
AB;Bilan;Semestre;1;2008;AC7;Arrete_Reference;42804
AB;Bilan;Semestre;1;2008;ACT;Annee_Reference;2765286
AB;Bilan;Semestre;1;2008;ACT;Arrete_Actuel;3073217
AB;Bilan;Semestre;1;2008;ACT;Arrete_Reference;2551700
AB;Bilan;Semestre;1;2008;CAP;Annee_Reference;272785
AB;Bilan;Semestre;1;2008;CAP;Arrete_Actuel;281706
AB;Bilan;Semestre;1;2008;CAP;Arrete_Reference;228025
AB;Bilan;Semestre;1;2008;CP1;Annee_Reference;85000
AB;Bilan;Semestre;1;2008;CP1;Arrete_Actuel;85000
AB;Bilan;Semestre;1;2008;CP1;Arrete_Reference;70000
AB;Bilan;Semestre;1;2008;CP2;Annee_Reference;157939
AB;Bilan;Semestre;1;2008;CP2;Arrete_Actuel;178954
AB;Bilan;Semestre;1;2008;CP2;Arrete_Reference;147534
AB;Bilan;Semestre;1;2008;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2008;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2008;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2008;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2008;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2008;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2008;CP5;Annee_Reference;2
AB;Bilan;Semestre;1;2008;CP5;Arrete_Actuel;1
AB;Bilan;Semestre;1;2008;CP5;Arrete_Reference;2
AB;Bilan;Semestre;1;2008;CP6;Annee_Reference;29421
AB;Bilan;Semestre;1;2008;CP6;Arrete_Actuel;17328
AB;Bilan;Semestre;1;2008;CP6;Arrete_Reference;10066
AB;Bilan;Semestre;1;2008;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2008;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2008;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2008;CPP;Annee_Reference;2765286
AB;Bilan;Semestre;1;2008;CPP;Arrete_Actuel;3073217
AB;Bilan;Semestre;1;2008;CPP;Arrete_Reference;2551700
AB;Bilan;Semestre;1;2008;PA1;Annee_Reference;NA
AB;Bilan;Semestre;1;2008;PA1;Arrete_Actuel;12002
AB;Bilan;Semestre;1;2008;PA1;Arrete_Reference;46
AB;Bilan;Semestre;1;2008;PA2;Annee_Reference;116056
AB;Bilan;Semestre;1;2008;PA2;Arrete_Actuel;77925
AB;Bilan;Semestre;1;2008;PA2;Arrete_Reference;21909
AB;Bilan;Semestre;1;2008;PA3;Annee_Reference;2072285
AB;Bilan;Semestre;1;2008;PA3;Arrete_Actuel;2374268
AB;Bilan;Semestre;1;2008;PA3;Arrete_Reference;2016310
AB;Bilan;Semestre;1;2008;PA4;Annee_Reference;280692
AB;Bilan;Semestre;1;2008;PA4;Arrete_Actuel;305021
AB;Bilan;Semestre;1;2008;PA4;Arrete_Reference;270176
AB;Bilan;Semestre;1;2008;PA5;Annee_Reference;23469
AB;Bilan;Semestre;1;2008;PA5;Arrete_Actuel;22295
AB;Bilan;Semestre;1;2008;PA5;Arrete_Reference;15234
AB;Bilan;Semestre;1;2008;PAS;Annee_Reference;2492501
AB;Bilan;Semestre;1;2008;PAS;Arrete_Actuel;2791511
AB;Bilan;Semestre;1;2008;PAS;Arrete_Reference;2323675
AB;Bilan;Semestre;1;2009;AC1;Annee_Reference;228831
AB;Bilan;Semestre;1;2009;AC1;Arrete_Actuel;194815
AB;Bilan;Semestre;1;2009;AC1;Arrete_Reference;292414
AB;Bilan;Semestre;1;2009;AC2;Annee_Reference;117766
AB;Bilan;Semestre;1;2009;AC2;Arrete_Actuel;170097
AB;Bilan;Semestre;1;2009;AC2;Arrete_Reference;104382
AB;Bilan;Semestre;1;2009;AC3;Annee_Reference;2344768
AB;Bilan;Semestre;1;2009;AC3;Arrete_Actuel;2648348
AB;Bilan;Semestre;1;2009;AC3;Arrete_Reference;2158466
AB;Bilan;Semestre;1;2009;AC4;Annee_Reference;1437
AB;Bilan;Semestre;1;2009;AC4;Arrete_Actuel;106448
AB;Bilan;Semestre;1;2009;AC4;Arrete_Reference;3554
AB;Bilan;Semestre;1;2009;AC5;Annee_Reference;421043
AB;Bilan;Semestre;1;2009;AC5;Arrete_Actuel;376479
AB;Bilan;Semestre;1;2009;AC5;Arrete_Reference;371542
AB;Bilan;Semestre;1;2009;AC6;Annee_Reference;98897
AB;Bilan;Semestre;1;2009;AC6;Arrete_Actuel;101357
AB;Bilan;Semestre;1;2009;AC6;Arrete_Reference;94101
AB;Bilan;Semestre;1;2009;AC7;Annee_Reference;33247
AB;Bilan;Semestre;1;2009;AC7;Arrete_Actuel;28185
AB;Bilan;Semestre;1;2009;AC7;Arrete_Reference;48758
AB;Bilan;Semestre;1;2009;ACT;Annee_Reference;3245989
AB;Bilan;Semestre;1;2009;ACT;Arrete_Actuel;3625729
AB;Bilan;Semestre;1;2009;ACT;Arrete_Reference;3073217
AB;Bilan;Semestre;1;2009;CAP;Annee_Reference;304411
AB;Bilan;Semestre;1;2009;CAP;Arrete_Actuel;314963
AB;Bilan;Semestre;1;2009;CAP;Arrete_Reference;281706
AB;Bilan;Semestre;1;2009;CP1;Annee_Reference;85000
